QUESTION,Answer
Does the employer have the right to assign an employee a job not stated in the labor contract?,"The employer is entitled to temporarily assign an employee to perform a job which is not stated in the labor contract in the following cases:

(i) The occurrence of sudden difficulties due to a natural disaster, fire or epidemic, or the taking of measures to prevent or address a work accident, an occupational disease, or an electric or water supply incident; or

(ii) Due to business and production needs.

When temporarily assigning an employee to perform a job which is not stated in the labor contract, the following requirements must be noted:

The temporary assignment shall not exceed 60 accumulated workdays within 01 year. Should the assignment exceed 60 accumulated workdays within 01 year, such assignment must be agreed upon by the employee in writing.
The employer shall specify in the internal regulations the cases where, due to production and business needs, the employer may temporarily assign the employee to perform a job which is not stated in the labor contract.
The employee must be informed at least 03 working days in advance, clearly stating the term of the temporary assignment, and assigning a job suitable to the health and gender of the employee.
Salaries will be paid based on the new job assignment. If the salary for the new job is lower than the old one, the employee is entitled to receive the previous salary for 30 working days. Thereafter, the salary for the new assignment must be at least 85% of the old salary but not lower than the minimum salary.
Employees who refuse to temporarily perform a job other than that stated in the labor contract for over 60 accumulated days within 1 year that results in work suspension of the employee, the employee shall be entitled to a suspension salary."
What circumstances are deemed structural and technological changes or economic reasons?,"The following cases are considered structural and technological changes:

(i) Changing the organizational structure or the reorganization of labor;

(ii)  The changing of the process, technology, machinery and equipment for production and the business associated with the production and business lines of the employer;

(iii) Changing the product or product structure.

The following cases are considered economic reasons:

(i) Economic crisis or recession;

(ii) Implementing State’s policies when restructuring the economy or implementing international commitments."
What are the employer’s obligations should there exist changes in structure and technology or economic reasons?,"If the change in structure or technology affects the employment of many employees, the employer shall formulate and implement a labor utilization plan in accordance with Article 44 of the 2019 Labor Code. If new jobs are being created, priority shall be given to retraining existing employees for continued employment.

Should there be more than one employee facing the risk of unemployment or being dismissed for economic reasons, the employer shall formulate and implement a labor utilization plan in accordance with Article 44 of 2019 the Labor Code.

If the employer cannot find a solution regarding the lost jobs and has to lay off employees, the employer shall pay job-loss allowances to the employees in accordance with Article 47 of the 2019 Labor Code.

The dismissal of employees shall be implemented only after discussion with the grassroots-level employees’ representative organization of which the employees are members, and the employer must notify the provincial-level People’s Committee and the employees 30 days in advance.
"
Can an employee enter into several labor contracts with multiple employers simultaneously? How does the employee’s compulsory insurance pay in such cases?,"An employee may enter into multiple labor contracts with multiple employers at the same time as long as they ensure full performance of the tasks as agreed.

If an employee enters into multiple labor contracts:

(i) The responsibility to participate in compulsory social insurance belong to the first employer who enters into a labor contract with said employee.

(ii) The responsibility to participate in unemployment insurance belong to the first employer who enters into a labor contract with said employee.

(iii) The responsibility to participate in compulsory health insurance belong to the employer with a labor contract which has the highest salary."
How many types of labor contracts are there?,"Labor contracts include the following 02 types:

(i) An indefinite-term labor contract is a contract in which the two parties do not establish the term or the termination date of the contract;

(ii) A definite-term labor contract is a contract in which the two parties establish the term or the date of termination of the contract with a maximum term of 36 months from the effective starting date."
What are the required contents that must be included in labor contracts?,"The following contents must be included in labor contracts:

(i) Name and address of the employer or of the lawful representative;

(ii) Full name, date of birth, gender, residence address, number of identity card or other legal documents of the employee;

(iii) Job and workplace;

(iv) Term of the labor contract;

(v) Salary, the form of salary payment, the deadline for salary payment, and salary-based allowances and other additional payments;

(vi) Regimes for promotion and salary increases;

(vii) Working time and break times;

(viii) Labor protection equipment for the employee;

(ix) Social insurance, health insurance and unemployment insurance;

(x) Training, retraining, and occupational skill improvement."
Which labor contract forms are acceptable?,"A labor contract shall be established in the following forms:

(i) In writing and made into 02 copies, one retained by the employee and the other kept by the employer.

(ii) By electronic means in the form of data messages pursuant to the law on e-transactions which has the same validity as a written labor contract.

(iii) In verbal form for a labor contract having a term of under 01 month.  However, verbal contracts are not possible with the following groups:

The contract was entered into with a group of employees who were fully aged 18 years old or older.
The contract was entered into with a person who was under15 years old.
The contract was entered into with domestic workers."
What is a strike and what is an illegal strike?,"A strike is a temporary, voluntary and organized work stoppage of employees in order to achieve their demands during a labor dispute settlement. The employees’ representative organization, which is a party to the dispute and has the right to conduct collective negotiation, shall coordinate and lead this strike.

There are 6 types of illegal strikes, which can be defined as those which:

(i) Do not fall within the definition of a legal strike in accordance with Article 199 of the 2019 Labor Code.

(ii) Are not coordinated by the employees’ representative organizations.

(iii) Violate the regulations on procedures and formalities to conduct strikes in accordance with the 2019 Labor Code.

(iv) Are collective labor disputes which are being settled by the competent agencies, organizations and individuals pursuant to the 2019 Labor Code.

(v) Take place in cases where strikes are prohibited in accordance with Article 209 of the 2019 Labor Code.

(vi) Are postponed or canceled by the competent authorities in accordance with Article 210 of the 2019 Labor Code."
How long is the statute of limitations for requesting the resolution of a labor dispute?,"For a dispute settled by a labor mediator, the statute of limitations is 06 months from the date of discovering the act which allegedly infringed upon the lawful rights or interests of the requesting party.

For a dispute settled by the Labor Arbitration Council, the statute of limitations is 09 months from the date of discovering the act which allegedly infringed upon the lawful rights or interests of the requesting party.

For a dispute settled by the People’s Court, the statute of limitations is 01 year from the date of discovering the act which allegedly infringed upon the lawful rights or interests of the requesting party.

Should the requestor establish that their noncompliance with the statute of limitations stipulated in Article 190 of the 2019 Labor Code was due to force majeure, objective obstacles or other reasons prescribed in the law, the period of the force majeure, objective obstacles or the mentioned reasons will not be calculated into the statute of limitations for the settlement of an individual labor dispute."
Which agencies have the authority to settle an individual labor dispute?,"The authorities that have the ability to settle individual labor disputes are:

(i) Labor Mediators;

(ii) Labor Arbitration Councils;

(iii) The People’s Court."
